accession	fastq_ftp	fastq_md5	host_tax_id	instrument_platform	instrument_model	host_sex	library_layout	library_selection	project_name	run_accession	sample_accession	sample_title	sex	scientific_name
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021663/ERR1021663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021663/ERR1021663_2.fastq.gz	524772fafc1643c433a0f1f9aa1ff1bc;890578a1e715c582db5b18149026d358		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021663	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021664/ERR1021664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021664/ERR1021664_2.fastq.gz	84d7e4e3195a00e72f44451301cb9749;62fa096169b0246d73f8e98c9ab24adc		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021664	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021665/ERR1021665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021665/ERR1021665_2.fastq.gz	1646c54a1da6a278cbb72d2eb1a04532;0b4a74af1174b450b3300205709f8800		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021665	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021666/ERR1021666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021666/ERR1021666_2.fastq.gz	14052165431743a88aec33dcdb7bc816;cf3a98d578b2c4eb59700290b63b792c		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021666	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021667/ERR1021667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021667/ERR1021667_2.fastq.gz	69080ee59d5fefacc0c47001e356df30;f17df9f62739d0454e78277cf2b19d3f		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021667	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021668/ERR1021668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021668/ERR1021668_2.fastq.gz	45cbc20cee8fcb55e46429eff582ae6c;d6c5db18dd6efd9cd8e61bacaee717af		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021668	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021669/ERR1021669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021669/ERR1021669_2.fastq.gz	29cfb12a13bbe21e83bba78c5ef6f5cf;dc89d36ffc99cf8892f552f94fcb2c44		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021669	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021670/ERR1021670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021670/ERR1021670_2.fastq.gz	406754409bec1fa9102d3e4f28d0d70f;4ca9ebd012fcbd35946974ac14e1eb3e		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021670	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021671/ERR1021671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021671/ERR1021671_2.fastq.gz	9479b24300aef12f2bc1fe77d064fe79;c04743540b41e52de83296b73000deee		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021671	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021672/ERR1021672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021672/ERR1021672_2.fastq.gz	4cd5fa3b594ad72afca9c5e4f5dd947f;ba8c92cfeb7b0a3a05355eaf415b7b46		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021672	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021673/ERR1021673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021673/ERR1021673_2.fastq.gz	ae1619324802218c66ec6008e40cb35d;27002080db8084caeff86b22b48070d3		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021673	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021674/ERR1021674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021674/ERR1021674_2.fastq.gz	ea60ca48652282b9b54dddb27bb8efac;244c410a2759f72b9710824e67a542e0		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021674	SAMEA3542237	Yakutian horse	male	Equus caballus
